quad1,quad2,dist
I3,R2,2547.590344
I4,R3,2549.240799
L2,L5,2552.638617
AR4,B3,2552.695769
PSG5,T7,2555.793564
PSG6,T7,2556.083813
MG7,T11,2556.16259
J12,N3,2557.656403
I7,J1,2558.653084
I4,J12,2559.726104
L1,L4,2561.437857
G5,T7,2563.710566
G1,PSG5,2564.906444
G1,PSG6,2570.016231
J1,N3,2580.613474
G1,L2,2581.686395
L1,PSG7,2587.029456
L1,PSG13,2590.116161
J8,U4,2591.716096
I4,J1,2594.276019
J8,N5,2594.841145
G2,T10,2597.084783
L1,PSG8,2598.62439
K2,T8,2602.059748
J1,U4,2606.755105
K3,T7,2608.254876
I5,R1,2611.067512
J12,N6,2616.962701
I5,J9,2621.207851
PSG7,T7,2622.324292
J12,U4,2623.026657
J1,N6,2631.328397
PSG8,T7,2639.06098
G1,PSG7,2641.992914
K3,L1,2647.641489
G1,K3,2650.63206
L1,PSG10,2654.318481
G1,PSG8,2658.645945
L2,PSG14,2658.685602
L1,PSG9,2661.724608
MG1,T11,2665.708136
I5,J22,2666.131647
L1,PSG11,2669.125266
N3,R2,2671.855795
J8,R4,2675.139504
I5,U1,2677.134089
PSG9,T7,2682.502992
PSG10,T7,2693.923888
N3A,R2,2696.297937
A2,B1,2699.078151
G1,PSG9,2712.308577
L1,PSG12,2712.936418
PSG11,T7,2717.081805
G1,PSG10,2718.742549
AR5,B3,2719.200249
AR6,B3,2730.052248
PSG12,T7,2739.308291
G1,PSG11,2741.276153
I4,R4,2747.683585
K1,L3,2761.068052
K1,L3A,2761.068052
G1,PSG12,2772.25596
I3,J8,2780.208496
L5,R3,2785.363263
K1,T9,2788.019043
L2,PSG1,2790.761715
G2,I2,2797.810804
L4,R3,2798.193404
L2,PSG2,2799.60165
G2,PSG1,2805.373481
I5,N3A,2811.381677
I4,L2,2822.292656
G2,PSG2,2822.83855
G3,K2,2827.088401
I2,T7,2831.302623
L5,V1,2841.671941
N6,R3,2843.0516
I4,L1,2847.39024
G2,PSG13,2848.831336
L2,PSG3,2850.077132
I5,N3,2856.964028
L2,PSG4,2864.815784
L2,R2,2867.865076
G2,PSG4,2868.175692
G1,I3,2869.890249
G2,PSG3,2875.075339
B1,B5,2883.099712
L2,PSG5,2884.676141
G2,PSG14,2888.396744
G6,K2,2890.961501
N3A,U4,2891.82006
N1,N3,2892.062516
N1,N3A,2893.000663
N3A,U3,2895.385311
L2,PSG6,2902.178009
G2,PSG5,2905.494694
G2,PSG6,2906.002959
G3,I1,2917.111975
R1,R4,2922.168456
N3,U4,2924.534891
PSG13,T8,2928.309442
J22,K1,2938.584541
N3,U3,2941.061184
N3,N4,2943.651343
N3A,N4,2946.225804
T1,T6,2948.542452
V1,V5,2949.510536
PSG1,T8,2950.608458
L2,PSG7,2953.590944
G2,K3,2959.178279
I4,L3,2960.405505
I4,L3A,2960.405505
L2,PSG8,2961.239342
PSG2,T8,2966.004289
I3,R3,2967.727034
I2,R2,2971.188447
