year,month,soi
1937,2,-0.59
1937,3,0.55
1937,4,0.18
1937,5,0.19
1937,6,0.22
1937,7,-0.53
1937,8,0.2
1937,9,0.04
1937,10,-0.39
1937,11,-0.46
1937,12,0.64
1938,1,0.75
1938,2,0.21
1938,3,-0.55
1938,4,0.39
1938,5,1.18
1938,6,2.01
1938,7,1.87
1938,8,1.24
1938,9,0.69
1938,10,1.37
1938,11,-0.07
1938,12,1.42
1939,1,1.74
1939,2,0.66
1939,3,1.14
1939,4,1.13
1939,5,-0.1
1939,6,-0.37
1939,7,0.84
1939,8,-0.11
1939,9,-0.95
1939,10,-1.71
1939,11,-0.96
1939,12,-1.07
1940,1,-0.06
1940,2,-0.56
1940,3,-1.34
1940,4,-0.94
1940,5,-1.39
1940,6,-2.49
1940,7,-1.5
1940,8,-2.11
1940,9,-1.95
1940,10,-1.8
1940,11,-0.77
1940,12,-3.38
1941,1,-1.13
1941,2,-1.6
1941,3,-1.33
1941,4,-1.19
1941,5,-0.75
1941,6,-1.89
1941,7,-2
1941,8,-2.2
1941,9,-0.83
1941,10,-2.29
1941,11,-1.09
1941,12,-1.07
1942,1,-1.51
1942,2,-0.51
1942,3,-0.8
1942,4,-0.52
1942,5,0.25
1942,6,0.8
1942,7,-0.08
1942,8,0.3
1942,9,0.82
1942,10,0.7
1942,11,-0.64
1942,12,1.42
1943,1,0.88
1943,2,0.91
1943,3,0.29
1943,4,1.59
1943,5,0.25
1943,6,-1.13
1943,7,0.3
1943,8,0.69
1943,9,0.53
1943,10,0.79
1943,11,0.22
1943,12,-1.06
1944,1,-0.95
1944,2,0.3
1944,3,0.46
1944,4,-0.54
1944,5,0.02
1944,6,-0.61
1944,7,-0.85
1944,8,0.13
1944,9,0.22
1944,10,-1.03
1944,11,-0.84
1944,12,0.36
1945,1,0.43
1945,2,0.53
1945,3,1.33
1945,4,-0.73
1945,5,0.02
1945,6,0.8
1945,7,0.39
1945,8,1.06
1945,9,0.8
1945,10,0.21
1945,11,-0.45
1945,12,0.63
1946,1,-0.32
1946,2,0.29
1946,3,-0.38
1946,4,-1.03
1946,5,-1.19
1946,6,-1.32
1946,7,-0.99
1946,8,-0.64
1946,9,-1.58
1946,10,-1.38
1946,11,-0.25
1946,12,-0.71
1947,1,-0.63
1947,2,-0.56
1947,3,1.13
1947,4,-0.56
1947,5,-1.24
1947,6,0.16
1947,7,0.98
1947,8,0.66
1947,9,1.1
1947,10,-0.35
1947,11,0.75
1947,12,0.47
1948,1,-0.43
1948,2,-0.41
1948,3,-0.6
1948,4,0.26
1948,5,0.35
1948,6,-0.76
1948,7,0.1
1948,8,-0.55
1948,9,-0.76
1948,10,0.54
1948,11,0.19
1948,12,-0.72
1949,1,-0.86
1949,2,0.05
1949,3,0.49
1949,4,0.28
1949,5,-0.68
1949,6,-1.6
1949,7,-0.15
1949,8,-0.64
1949,9,0.17
1949,10,0.38
1949,11,-0.77
1949,12,0.77
1950,1,0.54
1950,2,1.58
1950,3,1.79
1950,4,1.67
1950,5,0.55
1950,6,3.06
1950,7,2.14
1950,8,1.14
1950,9,0.63
1950,10,1.68
1950,11,0.89
1950,12,2.46
1951,1,1.32
1951,2,0.47
1951,3,-0.71
1951,4,-1.03
1951,5,-1.29
1951,6,-0.52
1951,7,-1.33
1951,8,-0.75
1951,9,-1.17
1951,10,-1.44
1951,11,-0.98
1951,12,-0.9
1952,1,-0.92
1952,2,-0.83
1952,3,-0.02
1952,4,-0.73
1952,5,0.67
1952,6,0.78
1952,7,0.51
1952,8,-0.38
1952,9,-0.24
1952,10,0.12
1952,11,-0.22
1952,12,-1.4
1953,1,0.12
1953,2,-0.72
1953,3,-0.79
1953,4,-0.18
1953,5,-2.72
1953,6,-0.47
1953,7,-0.06
1953,8,-1.89
1953,9,-1.35
1953,10,-0.18
1953,11,-0.36
1953,12,-0.61
